cluster,segment,RECENCY,FREQUENCY,MONETARY
0,High-Value Repeat Customers,156.26053639846742,9.076628352490422,406.5772030651341
1,Frequent Low-Spend Customers,213.4848484848485,9.662878787878787,160.7132196969697
2,Lapsed High-Spend Customers,278.2566371681416,4.393805309734513,328.4990265486726
3,Recent Occasional Customers,99.18875502008032,4.144578313253012,209.9524497991968
